"fc";"pval.fc.fdr"
"ENSG00000144339.12";-1.91;0.00435925036208157
"ENSG00000144354.14";1.52;0.000222903346896547
"ENSG00000144395.18";1.98;0.000154822882615118
"ENSG00000144837.9";1.82;0.0035459383024665
"ENSG00000144847.13";-3.22;0.000632989926818811
"ENSG00000144868.14";-1.6;0.00731931628348691
"ENSG00000144891.18";-2.9;0.00359129280590529
"ENSG00000144935.15";-1.63;0.00766728487409777
"ENSG00000145012.13";-1.76;0.00618132422519328
"ENSG00000145103.15";1.53;6.63762011532334e-05
"ENSG00000145244.12";1.94;0.00519066240169951
"ENSG00000145248.7";-2.5;0.00434331024032254
"ENSG00000145362.20";-2.25;0.00539047773415927
"ENSG00000145687.16";-1.85;7.73761584863135e-05
"ENSG00000145692.15";-1.86;0.00448094197602594
"ENSG00000145708.11";-1.67;0.00697999247143985
"ENSG00000145777.15";-1.97;0.00186636568316902
"ENSG00000146013.11";-2.56;0.00117202224469719
"ENSG00000146038.12";2.33;0.00886298816171487
"ENSG00000146070.17";2.05;0.000572884616329298
"ENSG00000146147.15";-1.88;0.0047962521147136
"ENSG00000146151.14";-2.35;0.000391793485886402
"ENSG00000146410.12";1.87;1.10238386476155e-05
"ENSG00000146411.6";-1.82;0.00149878630453425
"ENSG00000146670.10";1.94;1.71948192960163e-06
"ENSG00000146755.11";-5.02;0.00556975433265158
"ENSG00000147166.11";-2.17;0.00925078574529898
"ENSG00000147536.12";1.68;6.59318331648463e-06
"ENSG00000147576.17";-2.72;9.7595237977331e-05
"ENSG00000147588.7";-3.71;0.00285887307619386
"ENSG00000147724.12";-2.2;7.17163372369689e-05
"ENSG00000147799.11";1.53;3.34032086187597e-05
"ENSG00000147889.18";3.32;0.000402684174186569
"ENSG00000148180.21";-1.64;6.38662865400634e-05
"ENSG00000148488.17";-1.56;0.000460928369718713
"ENSG00000148680.16";-1.59;0.00430531238635401
"ENSG00000148735.15";1.61;0.00266777262497961
"ENSG00000148773.14";1.97;7.31416092886338e-06
"ENSG00000148826.9";-3.85;0.00975714484492132
"ENSG00000148848.14";2.98;3.43231756989547e-05
"ENSG00000149294.17";-3.25;0.00156781723999194
"ENSG00000149380.12";1.94;0.0001029305751374
"ENSG00000149451.18";-2.11;0.00311025560087489
"ENSG00000149575.9";-1.9;0.00146631656588896
"ENSG00000150054.18";-1.82;0.000178076136366626
"ENSG00000150337.13";2.06;9.58892982951587e-05
"ENSG00000150672.17";-2.34;0.000762726605610666
"ENSG00000150764.14";-2.08;0.00285887307619386
"ENSG00000151025.11";2.37;0.000381837702515345
"ENSG00000151079.7";-1.83;0.00172498131244972
"ENSG00000151320.11";-2.64;0.00505128277504801
"ENSG00000151388.11";2.77;3.52856102090586e-05
"ENSG00000151651.16";1.82;0.00918509104255524
"ENSG00000151729.11";-1.8;0.000227650367492207
"ENSG00000151892.15";-1.89;0.000959008768296923
"ENSG00000152137.8";-2.62;0.0011850356556595
"ENSG00000152217.20";-1.63;0.00227885141052776
"ENSG00000152578.13";-2.74;0.000739300902598816
"ENSG00000152583.12";-1.89;0.00744032356426812
"ENSG00000152779.14";-1.98;0.00106209951315661
"ENSG00000152784.16";-1.66;0.0096306455503563
"ENSG00000152931.9";-2.67;0.00326545501368166
"ENSG00000153162.9";-1.7;0.001363913617475
"ENSG00000153303.17";-2.99;0.0071477262590618
"ENSG00000153404.14";-1.98;0.000983407762960588
"ENSG00000153446.16";-3.31;0.00131462321345892
"ENSG00000153822.14";-4.37;0.00623695165663219
"ENSG00000153823.19";-1.72;0.000457823064047746
"ENSG00000153902.14";-1.91;0.00501320668922128
"ENSG00000154027.19";-2.24;0.00556975433265158
"ENSG00000154096.14";1.7;0.000393036791880359
"ENSG00000154175.18";-2.72;0.00289817420184986
"ENSG00000154188.10";-1.78;0.00273363831606387
"ENSG00000154258.17";-2.03;0.00654473716723178
"ENSG00000154330.13";-3;0.00332378974241437
"ENSG00000154553.16";-2.21;0.00827960978840373
"ENSG00000154556.18";-1.77;0.0030665703164628
"ENSG00000154678.18";-1.85;0.000283815391985469
"ENSG00000154721.15";-1.9;0.000511995416690834
"ENSG00000154734.16";-1.75;0.00190385410127346
"ENSG00000154839.10";1.69;9.91615066266615e-06
"ENSG00000154917.11";-1.65;0.00113052104001317
"ENSG00000154920.15";2.07;2.84444842129374e-05
"ENSG00000155629.15";1.62;9.1722310646411e-05
"ENSG00000155875.15";-1.65;4.31283779530305e-05
"ENSG00000155970.12";-1.99;0.000663956030914827
"ENSG00000156076.10";-3.5;0.00623475158658813
"ENSG00000156218.13";-1.95;0.00383165311872729
"ENSG00000156509.14";2.05;0.00321984510168452
"ENSG00000156802.13";1.7;6.04135800962146e-06
"ENSG00000156804.7";-1.98;0.00855906717437905
"ENSG00000156970.13";1.8;2.01682131176519e-05
"ENSG00000157152.17";-1.56;0.00258727886630134
"ENSG00000157193.18";2.02;0.000514289131958235
"ENSG00000157388.19";1.52;0.00159885862403679
"ENSG00000157404.16";-1.73;1.10238386476155e-05
"ENSG00000157445.15";-2.07;1.83978803862983e-05
"ENSG00000157470.12";1.72;0.000298284131749197
"ENSG00000157514.16";-1.52;1.85266452762822e-05
"ENSG00000157551.19";-2.92;0.00129410435303259
"ENSG00000157766.19";3.38;1.25624117020687e-05
